Wk,Date,Day,Winner,Pts,Loser,Pts
7,10/15/2011,Sat,Cincinnati,25,Louisville,16
2,9/9/2011,Fri,Florida International,24,Louisville,17
5,10/1/2011,Sat,Marshall,17,Louisville,13
6,10/8/2011,Sat,North Carolina,14,Louisville,7
18,12/27/2011,Tue,North Carolina State,31,Louisville,24
18,12/27/2011,Tue,North Carolina State,31,Louisville,24
11,11/12/2011,Sat,Pittsburgh,21,Louisville,14
2,9/10/2011,Sat,Pittsburgh,35,Maine,29
8,10/22/2011,Sat, Houston,63,Marshall,28
1,9/4/2011,Sun, West Virginia,34,Marshall,13
6,10/8/2011,Sat,Central Florida,16,Marshall,6
3,9/17/2011,Sat,Ohio,44,Marshall,7
11,11/12/2011,Sat,Tulsa,59,Marshall,17
4,9/24/2011,Sat,Virginia Tech,30,Marshall,10
7,10/15/2011,Sat, Clemson,56,Maryland,45
6,10/8/2011,Sat, Georgia Tech,21,Maryland,16
3,9/17/2011,Sat, West Virginia,37,Maryland,31
9,10/29/2011,Sat,Boston College,28,Maryland,17
8,10/22/2011,Sat,Florida State,41,Maryland,16
13,11/26/2011,Sat,North Carolina State,56,Maryland,41
11,11/12/2011,Sat,Notre Dame,45,Maryland,21
11,11/12/2011,Sat,Notre Dame,45,Maryland,21
4,9/24/2011,Sat,Temple,38,Maryland,7
10,11/5/2011,Sat,Virginia,31,Maryland,13
12,11/19/2011,Sat,Wake Forest,31,Maryland,10
4,9/24/2011,Sat,Boston College,45,Massachusetts,17
1,9/3/2011,Sat,Kansas,42,McNeese State,24
11,11/12/2011,Sat,Alabama-Birmingham,41,Memphis,35
2,9/10/2011,Sat,Arkansas State,47,Memphis,3
9,10/29/2011,Sat,Central Florida,41,Memphis,0
7,10/15/2011,Sat,East Carolina,35,Memphis,17
12,11/17/2011,Thu,Marshall,23,Memphis,22
5,10/1/2011,Sat,Middle Tennessee State,38,Memphis,31
1,9/1/2011,Thu,Mississippi State,59,Memphis,14
6,10/8/2011,Sat,Rice,28,Memphis,6
4,9/24/2011,Sat,Southern Methodist,42,Memphis,0
13,11/26/2011,Sat,Southern Mississippi,44,Memphis,7
6,10/8/2011,Sat, Virginia Tech,38,Miami (Florida),35
13,11/25/2011,Fri,Boston College,24,Miami (Florida),17
11,11/12/2011,Sat,Florida State,23,Miami (Florida),19
4,9/24/2011,Sat,Kansas State,28,Miami (Florida),24
1,9/5/2011,Mon,Maryland,32,Miami (Florida),24
9,10/27/2011,Thu,Virginia,28,Miami (Florida),21
4,9/24/2011,Sat,Bowling Green State,37,Miami (OH),23
5,10/1/2011,Sat,Cincinnati,27,Miami (OH),0
3,9/17/2011,Sat,Minnesota,29,Miami (OH),23
1,9/3/2011,Sat,Missouri,17,Miami (OH),6
13,11/22/2011,Tue,Ohio,21,Miami (OH),14
11,11/9/2011,Wed,Temple,24,Miami (OH),21
8,10/22/2011,Sat,Toledo,49,Miami (OH),28
12,11/16/2011,Wed,Western Michigan,24,Miami (OH),21
12,11/19/2011,Sat,Arkansas State,45,Middle Tennessee State,19
13,11/26/2011,Sat,Florida International,31,Middle Tennessee State,18
2,9/10/2011,Sat,Georgia Tech,49,Middle Tennessee State,21
9,10/29/2011,Sat,Louisiana,45,Middle Tennessee State,20
11,11/12/2011,Sat,Louisiana-Monroe,42,Middle Tennessee State,14
14,12/3/2011,Sat,North Texas,59,Middle Tennessee State,7
1,9/3/2011,Sat,Purdue,27,Middle Tennessee State,24
10,11/5/2011,Sat,Tennessee,24,Middle Tennessee State,0
4,9/24/2011,Sat,Troy,38,Middle Tennessee State,35
6,10/6/2011,Thu,Western Kentucky,36,Middle Tennessee State,33
5,10/1/2011,Sat, Michigan,58,Minnesota,0
10,11/5/2011,Sat, Michigan State,31,Minnesota,24
8,10/22/2011,Sat, Nebraska,41,Minnesota,14
1,9/3/2011,Sat, Southern California,19,Minnesota,17
11,11/12/2011,Sat, Wisconsin,42,Minnesota,13
2,9/10/2011,Sat,New Mexico State,28,Minnesota,21
4,9/24/2011,Sat,North Dakota State,37,Minnesota,24
12,11/19/2011,Sat,Northwestern,28,Minnesota,13
6,10/8/2011,Sat,Purdue,45,Minnesota,17
7,10/15/2011,Sat, Alabama,52,Mississippi,7
8,10/22/2011,Sat, Arkansas,29,Mississippi,24
12,11/19/2011,Sat,LSU,52,Mississippi,3
9,10/29/2011,Sat,Auburn,41,Mississippi,23
1,9/3/2011,Sat,Brigham Young,14,Mississippi,13
4,9/24/2011,Sat,Georgia,27,Mississippi,13
10,11/5/2011,Sat,Kentucky,30,Mississippi,13
11,11/12/2011,Sat,Louisiana Tech,27,Mississippi,7
13,11/26/2011,Sat,Mississippi State,31,Mississippi,3
3,9/17/2011,Sat,Vanderbilt,30,Mississippi,7
11,11/12/2011,Sat, Alabama,24,Mississippi State,7
12,11/19/2011,Sat, Arkansas,44,Mississippi State,17
7,10/15/2011,Sat, South Carolina,14,Mississippi State,12
5,10/1/2011,Sat,Georgia,24,Mississippi State,10
6,10/8/2011,Sat, Kansas State,24,Missouri,17
4,9/24/2011,Sat, Oklahoma,38,Missouri,28
8,10/22/2011,Sat, Oklahoma State,45,Missouri,24
10,11/5/2011,Sat,Baylor,42,Missouri,39
1,9/3/2011,Sat, Arkansas,51,Missouri State,7
3,9/17/2011,Sat,Oregon,56,Missouri State,7
1,9/3/2011,Sat,Tennessee,42,Montana,16
1,9/1/2011,Thu,Utah,27,Montana State,10
2,9/10/2011,Sat,Bowling Green State,58,Morgan State,13
1,9/1/2011,Thu,Louisville,21,Murray State,9
3,9/17/2011,Sat, South Carolina,24,Navy,21
5,10/1/2011,Sat,Air Force,35,Navy,34
8,10/22/2011,Sat,East Carolina,38,Navy,35
9,10/29/2011,Sat,Notre Dame,56,Navy,14
7,10/15/2011,Sat,Rutgers,21,Navy,20
12,11/19/2011,Sat,San Jose State,27,Navy,24
6,10/8/2011,Sat,Southern Mississippi,63,Navy,35
2,9/10/2011,Sat, Oregon,69,Nevada,20
17,12/24/2011,Sat, Southern Mississippi,24,Nevada,17
5,10/1/2011,Sat,Boise State,30,Nevada,10
12,11/19/2011,Sat,Louisiana Tech,24,Nevada,20
17,12/24/2011,Sat,Southern Mississippi,24,Nevada,17
4,9/24/2011,Sat,Texas Tech,35,Nevada,34
13,11/26/2011,Sat,Utah State,21,Nevada,17
10,11/5/2011,Sat, Boise State,48,Nevada-Las Vegas,21
14,12/3/2011,Sat, Texas Christian,56,Nevada-Las Vegas,9
1,9/1/2011,Thu, Wisconsin,51,Nevada-Las Vegas,17
12,11/19/2011,Sat,Air Force,45,Nevada-Las Vegas,17
6,10/8/2011,Sat,Nevada,37,Nevada-Las Vegas,0
11,11/12/2011,Sat,New Mexico,21,Nevada-Las Vegas,14
13,11/26/2011,Sat,San Diego State,31,Nevada-Las Vegas,14
4,9/24/2011,Sat,Southern Utah,41,Nevada-Las Vegas,16
2,9/10/2011,Sat,Washington State,59,Nevada-Las Vegas,7
7,10/15/2011,Sat,Wyoming,41,Nevada-Las Vegas,14
1,9/1/2011,Thu,Toledo,58,New Hampshire,22
2,9/10/2011,Sat, Arkansas,52,New Mexico,3
14,12/3/2011,Sat, Boise State,45,New Mexico,0
9,10/29/2011,Sat,Air Force,42,New Mexico,0
1,9/3/2011,Sat,Colorado State,14,New Mexico,10
7,10/15/2011,Sat,Nevada,49,New Mexico,7
5,10/1/2011,Sat,New Mexico State,42,New Mexico,28
4,9/24/2011,Sat,Sam Houston State,48,New Mexico,45
10,11/5/2011,Sat,San Diego State,35,New Mexico,7
8,10/22/2011,Sat,TCU,69,New Mexico,0
3,9/17/2011,Sat,Texas Tech,59,New Mexico,13
12,11/19/2011,Sat,Wyoming,31,New Mexico,10
12,11/19/2011,Sat,Brigham Young,42,New Mexico State,7
10,11/5/2011,Sat,Georgia,63,New Mexico State,16
8,10/22/2011,Sat,Hawaii,45,New Mexico State,34
13,11/26/2011,Sat,Louisiana Tech,44,New Mexico State,0
9,10/29/2011,Sat,Nevada,48,New Mexico State,34
1,9/3/2011,Sat,Ohio,44,New Mexico State,24
4,9/24/2011,Sat,San Jose State,34,New Mexico State,24
3,9/17/2011,Sat,Texas-El Paso,16,New Mexico State,10
14,12/3/2011,Sat,Utah State,24,New Mexico State,21
3,9/17/2011,Sat,Louisiana,38,Nicholls State,21
2,9/10/2011,Sat,Western Michigan,38,Nicholls State,7
2,9/10/2011,Sat, West Virginia,55,Norfolk State,12
8,10/22/2011,Sat, Clemson,59,North Carolina,38
4,9/24/2011,Sat, Georgia Tech,35,North Carolina,28
12,11/17/2011,Thu, Virginia Tech,24,North Carolina,21
7,10/15/2011,Sat,Miami (Florida),30,North Carolina,24
17,12/26/2011,Mon,Missouri,41,North Carolina,24
10,11/5/2011,Sat,North Carolina State,13,North Carolina,0
1,9/1/2011,Thu,Rutgers,48,North Carolina Central,0
5,10/1/2011,Sat, Georgia Tech,45,North Carolina State,35
11,11/12/2011,Sat,Boston College,14,North Carolina State,10
4,9/22/2011,Thu,Cincinnati,44,North Carolina State,14
9,10/29/2011,Sat,Florida State,34,North Carolina State,0
2,9/10/2011,Sat,Wake Forest,34,North Carolina State,27
3,9/17/2011,Sat,Fresno State,27,North Dakota,22
2,9/10/2011,Sat,Idaho,44,North Dakota,14
3,9/17/2011,Sat, Alabama,41,North Texas,0
9,10/29/2011,Sat,Arkansas State,37,North Texas,14
1,9/1/2011,Thu,Florida International,41,North Texas,16
2,9/10/2011,Sat,Houston,48,North Texas,23
7,10/15/2011,Sat,Louisiana,30,North Texas,10
5,10/1/2011,Sat,Tulsa,41,North Texas,24
12,11/19/2011,Sat,Western Kentucky,31,North Texas,21
1,9/3/2011,Sat,Arizona,41,Northern Arizona,10
2,9/10/2011,Sat,Colorado State,33,Northern Colorado,14
3,9/17/2011,Sat, Wisconsin,49,Northern Illinois,7
3,9/17/2011,Sat, Wisconsin,49,Northern Illinois,7
5,10/1/2011,Sat,Central Michigan,48,Northern Illinois,41
2,9/10/2011,Sat,Kansas,45,Northern Illinois,42
1,9/3/2011,Sat,Iowa State,20,Northern Iowa,19
5,10/1/2011,Sat, Illinois,38,Northwestern,35
6,10/8/2011,Sat, Michigan,42,Northwestern,24
13,11/26/2011,Sat, Michigan State,31,Northwestern,17
3,9/17/2011,Sat,Army,21,Northwestern,14
7,10/15/2011,Sat,Iowa,41,Northwestern,31
8,10/22/2011,Sat,Penn State,34,Northwestern,24
18,12/31/2011,Sat,Texas A&M,33,Northwestern,22
2,9/10/2011,Sat,LSU,49,Northwestern State,3
3,9/17/2011,Sat,Southern Methodist,40,Northwestern State,7
18,12/29/2011,Thu, Florida State,18,Notre Dame,14
2,9/10/2011,Sat,Michigan,35,Notre Dame,31
8,10/22/2011,Sat,USC,31,Notre Dame,17
7,10/15/2011,Sat,Ball State,23,Ohio,20
6,10/8/2011,Sat,Buffalo,38,Ohio,37
14,12/2/2011,Fri,Northern Illinois,23,Ohio,20
4,9/24/2011,Sat,Rutgers,38,Ohio,26
13,11/26/2011,Sat, Michigan,40,Ohio State,34
6,10/8/2011,Sat, Nebraska,34,Ohio State,27
12,11/19/2011,Sat, Penn State,20,Ohio State,14
19,1/2/2012,Mon,Florida,24,Ohio State,17
19,1/2/2012,Mon,Florida,24,Ohio State,17
5,10/1/2011,Sat,Michigan State,10,Ohio State,7
11,11/12/2011,Sat,Purdue,26,Ohio State,23
5,10/1/2011,Sat, Arizona State,35,Oregon State,20
13,11/26/2011,Sat, Oregon,49,Oregon State,21
10,11/5/2011,Sat, Stanford,38,Oregon State,13
7,10/15/2011,Sat,Brigham Young,38,Oregon State,28
11,11/12/2011,Sat,California,23,Oregon State,6
1,9/3/2011,Sat,Sacramento State,29,Oregon State,28
4,9/24/2011,Sat,UCLA,27,Oregon State,19
9,10/29/2011,Sat,Utah,27,Oregon State,8
2,9/10/2011,Sat,Wisconsin,35,Oregon State,0
10,11/5/2011,Sat, Cincinnati,26,Pittsburgh,23
3,9/17/2011,Sat,Iowa,31,Pittsburgh,27
4,9/24/2011,Sat,Notre Dame,15,Pittsburgh,12
6,10/8/2011,Sat,Rutgers,34,Pittsburgh,10
20,1/7/2012,Sat,Southern Methodist,28,Pittsburgh,6
7,10/15/2011,Sat,Utah,26,Pittsburgh,14
13,11/25/2011,Fri,West Virginia,21,Pittsburgh,20
4,9/24/2011,Sat,TCU,55,Portland State,13
3,9/17/2011,Sat,California,63,Presbyterian,12
9,10/29/2011,Sat, Michigan,36,Purdue,14
10,11/5/2011,Sat, Wisconsin,62,Purdue,17
12,11/19/2011,Sat,Iowa,31,Purdue,21
5,10/1/2011,Sat,Notre Dame,38,Purdue,10
7,10/15/2011,Sat,Penn State,23,Purdue,18
2,9/10/2011,Sat,Rice,24,Purdue,22
2,9/10/2011,Sat,Syracuse,21,Rhode Island,14
4,9/24/2011,Sat, Baylor,56,Rice,31
9,10/27/2011,Thu, Houston,73,Rice,34
7,10/15/2011,Sat,Marshall,24,Rice,20
11,11/12/2011,Sat,Northwestern,28,Rice,6
13,11/26/2011,Sat,Southern Methodist,27,Rice,24
5,10/1/2011,Sat,Southern Mississippi,48,Rice,24
1,9/3/2011,Sat,Texas,34,Rice,9
8,10/22/2011,Sat,Tulsa,38,Rice,20
9,10/29/2011,Sat, West Virginia,41,Rutgers,31
13,11/26/2011,Sat,Connecticut,40,Rutgers,22
8,10/21/2011,Fri,Louisville,16,Rutgers,14
2,9/10/2011,Sat,North Carolina,24,Rutgers,22
12,11/19/2011,Sat,Auburn,35,Samford,16
12,11/19/2011,Sat, Boise State,52,San Diego State,35
4,9/24/2011,Sat, Michigan,28,San Diego State,7
16,12/17/2011,Sat,Louisiana,32,San Diego State,30
16,12/17/2011,Sat,Louisiana,32,San Diego State,30
6,10/8/2011,Sat,TCU,27,San Diego State,14
9,10/29/2011,Sat,Wyoming,30,San Diego State,27
6,10/8/2011,Sat,Brigham Young,29,San Jose State,16
10,11/5/2011,Sat,Idaho,32,San Jose State,29
9,10/29/2011,Sat,Louisiana Tech,38,San Jose State,28
3,9/17/2011,Sat,Nevada,17,San Jose State,14
1,9/3/2011,Sat,Stanford,57,San Jose State,3
2,9/10/2011,Sat,UCLA,27,San Jose State,17
11,11/12/2011,Sat,Utah State,34,San Jose State,33
4,9/24/2011,Sat,Kent State,33,South Alabama,25
3,9/17/2011,Sat,North Carolina State,35,South Alabama,13
1,9/1/2011,Thu,Central Michigan,21,South Carolina State,6
3,9/17/2011,Sat,Indiana,38,South Carolina State,21
4,9/24/2011,Sat, Wisconsin,59,South Dakota,10
1,9/3/2011,Sat,Air Force,37,South Dakota,20
2,9/10/2011,Sat,Illinois,56,South Dakota State,3
14,12/1/2011,Thu, West Virginia,30,South Florida,27
8,10/22/2011,Sat,Cincinnati,37,South Florida,34
7,10/15/2011,Sat,Connecticut,16,South Florida,10
13,11/25/2011,Fri,Louisville,34,South Florida,24
12,11/19/2011,Sat,Miami (Florida),6,South Florida,3
10,11/5/2011,Sat,Rutgers,20,South Florida,17
3,9/17/2011,Sat,Purdue,59,Southeast Missouri State,0
3,9/17/2011,Sat,Southern Mississippi,52,Southeastern Louisiana,6
1,9/3/2011,Sat,Tulane,47,Southeastern Louisiana,33
2,9/10/2011,Sat,Mississippi,42,Southern Illinois,24
12,11/19/2011,Sat, Houston,37,Southern Methodist,7
1,9/4/2011,Sun, Texas A&M,46,Southern Methodist,14
11,11/12/2011,Sat,Navy,24,Southern Methodist,17
8,10/22/2011,Sat,Southern Mississippi,27,Southern Methodist,3
9,10/29/2011,Sat,Tulsa,38,Southern Methodist,7
2,9/10/2011,Sat,Marshall,26,Southern Mississippi,20
3,9/17/2011,Sat, Baylor,48,Stephen F. Austin,0
2,9/10/2011,Sat,Buffalo,35,Stony Brook,7
1,9/3/2011,Sat,Texas-El Paso,31,Stony Brook,24
13,11/26/2011,Sat,Cincinnati,30,Syracuse,13
10,11/5/2011,Sat,Connecticut,28,Syracuse,21
9,10/29/2011,Sat,Louisville,27,Syracuse,10
14,12/3/2011,Sat,Pittsburgh,33,Syracuse,20
5,10/1/2011,Sat,Rutgers,19,Syracuse,16
11,11/11/2011,Fri,South Florida,37,Syracuse,17
3,9/17/2011,Sat,USC,38,Syracuse,17
8,10/22/2011,Sat,Bowling Green State,13,Temple,10
10,11/2/2011,Wed,Ohio,35,Temple,31
3,9/17/2011,Sat,Penn State,14,Temple,10
5,10/1/2011,Sat,Toledo,36,Temple,13
8,10/22/2011,Sat, Alabama,37,Tennessee,6
11,11/12/2011,Sat, Arkansas,49,Tennessee,7
7,10/15/2011,Sat,LSU,38,Tennessee,7
9,10/29/2011,Sat, South Carolina,14,Tennessee,3
3,9/17/2011,Sat,Florida,33,Tennessee,23
6,10/8/2011,Sat,Georgia,20,Tennessee,12
13,11/26/2011,Sat,Kentucky,10,Tennessee,7
4,9/24/2011,Sat,Air Force,63,Tennessee State,24
1,9/3/2011,Sat,Iowa,34,Tennessee Tech,7
10,11/5/2011,Sat,Mississippi State,55,Tennessee-Martin,17
14,12/3/2011,Sat, Baylor,48,Texas,24
12,11/19/2011,Sat, Kansas State,17,Texas,13
11,11/12/2011,Sat, Kansas State,53,Texas A&M,50
10,11/5/2011,Sat, Oklahoma,41,Texas A&M,25
13,11/24/2011,Thu,Texas,27,Texas A&M,25
1,9/3/2011,Sat,Texas Tech,50,Texas State,10
2,9/10/2011,Sat,Wyoming,45,Texas State,10
13,11/26/2011,Sat, Baylor,66,Texas Tech,42
7,10/15/2011,Sat, Kansas State,41,Texas Tech,34
11,11/12/2011,Sat, Oklahoma State,66,Texas Tech,6
6,10/8/2011,Sat, Texas A&M,45,Texas Tech,40
12,11/19/2011,Sat,Missouri,31,Texas Tech,27
10,11/5/2011,Sat,Texas,52,Texas Tech,20
4,9/24/2011,Sat, South Florida,52,Texas-El Paso,24
13,11/25/2011,Fri,Central Florida,31,Texas-El Paso,14
5,9/29/2011,Thu,Houston,49,Texas-El Paso,42
10,11/5/2011,Sat,Rice,41,Texas-El Paso,37
2,9/10/2011,Sat,Southern Methodist,28,Texas-El Paso,17
9,10/29/2011,Sat,Southern Mississippi,31,Texas-El Paso,13
12,11/19/2011,Sat,Tulsa,57,Texas-El Paso,28
3,9/16/2011,Fri, Boise State,40,Toledo,15
2,9/10/2011,Sat, Ohio State,27,Toledo,22
10,11/1/2011,Tue,Northern Illinois,63,Toledo,60
4,9/24/2011,Sat,Syracuse,33,Toledo,30
5,10/1/2011,Sat,Maryland,28,Towson,3
3,9/17/2011,Sat, Arkansas,38,Troy,28
14,12/3/2011,Sat,Arkansas State,45,Troy,14
1,9/3/2011,Sat,Clemson,43,Troy,19
9,10/25/2011,Tue,Florida International,23,Troy,20
6,10/8/2011,Sat,Louisiana,31,Troy,17
7,10/15/2011,Sat,Louisiana-Monroe,38,Troy,10
10,11/5/2011,Sat,Navy,42,Troy,14
11,11/12/2011,Sat,North Texas,38,Troy,33
13,11/26/2011,Sat,Western Kentucky,41,Troy,18
11,11/10/2011,Thu, Houston,73,Tulane,17
5,10/1/2011,Sat,Army,45,Tulane,6
4,9/24/2011,Sat,Duke,48,Tulane,27
9,10/29/2011,Sat,East Carolina,34,Tulane,13
13,11/26/2011,Sat,Hawaii,35,Tulane,23
8,10/22/2011,Sat,Memphis,33,Tulane,17
12,11/19/2011,Sat,Rice,19,Tulane,7
10,11/5/2011,Sat,Southern Methodist,45,Tulane,24
6,10/8/2011,Sat,Syracuse,37,Tulane,34
7,10/15/2011,Sat,Texas-El Paso,44,Tulane,7
2,9/10/2011,Sat,Tulsa,31,Tulane,3
4,9/24/2011,Sat, Boise State,41,Tulsa,21
13,11/25/2011,Fri, Houston,48,Tulsa,16
1,9/3/2011,Sat, Oklahoma,47,Tulsa,14
18,12/30/2011,Fri,Brigham Young,24,Tulsa,21
3,9/17/2011,Sat,Oklahoma State,59,Tulsa,33
14,12/2/2011,Fri, Oregon,49,UCLA,31
13,11/26/2011,Sat, Southern California,50,UCLA,0
5,10/1/2011,Sat, Stanford,45,UCLA,19
3,9/17/2011,Sat, Texas,49,UCLA,20
8,10/20/2011,Thu,Arizona,48,UCLA,12
1,9/3/2011,Sat,Houston,38,UCLA,34
18,12/31/2011,Sat,Illinois,20,UCLA,14
11,11/12/2011,Sat,Utah,31,UCLA,6
6,10/8/2011,Sat, Arizona State,35,Utah,14
8,10/22/2011,Sat,California,34,Utah,10
13,11/25/2011,Fri,Colorado,17,Utah,14
2,9/10/2011,Sat,USC,23,Utah,14
5,10/1/2011,Sat,Washington,31,Utah,14
1,9/3/2011,Sat,Auburn,42,Utah State,38
5,9/30/2011,Fri,Brigham Young,27,Utah State,24
4,9/24/2011,Sat,Colorado State,35,Utah State,34
7,10/15/2011,Sat,Fresno State,31,Utah State,21
8,10/22/2011,Sat,Louisiana Tech,24,Utah State,17
16,12/17/2011,Sat,Ohio,24,Utah State,23
9,10/29/2011,Sat, Arkansas,31,Vanderbilt,28
4,9/24/2011,Sat, South Carolina,21,Vanderbilt,3
6,10/8/2011,Sat,Alabama,34,Vanderbilt,0
18,12/31/2011,Sat,Cincinnati,31,Vanderbilt,24
18,12/31/2011,Sat,Cincinnati,31,Vanderbilt,24
10,11/5/2011,Sat,Florida,26,Vanderbilt,21
7,10/15/2011,Sat,Georgia,33,Vanderbilt,28
12,11/19/2011,Sat,Tennessee,27,Vanderbilt,21
1,9/1/2011,Thu,Temple,42,Villanova,7
18,12/31/2011,Sat,Auburn,43,Virginia,24
3,9/17/2011,Sat,North Carolina,28,Virginia,17
8,10/22/2011,Sat,North Carolina State,28,Virginia,14
4,9/24/2011,Sat,Southern Mississippi,30,Virginia,24
4,9/24/2011,Sat,Akron,36,Virginia Military Institute,13
11,11/12/2011,Sat, Clemson,31,Wake Forest,28
7,10/15/2011,Sat, Virginia Tech,38,Wake Forest,17
18,12/30/2011,Fri,Mississippi State,23,Wake Forest,17
9,10/29/2011,Sat,North Carolina,49,Wake Forest,24
10,11/5/2011,Sat,Notre Dame,24,Wake Forest,17
1,9/1/2011,Thu,Syracuse,36,Wake Forest,29
13,11/26/2011,Sat,Vanderbilt,41,Wake Forest,7
18,12/29/2011,Thu, Baylor,67,Washington,56
3,9/17/2011,Sat, Nebraska,51,Washington,38
10,11/5/2011,Sat, Oregon,34,Washington,17
11,11/12/2011,Sat, Southern California,40,Washington,17
12,11/19/2011,Sat,Oregon State,38,Washington,21
9,10/29/2011,Sat, Oregon,43,Washington State,28
7,10/15/2011,Sat, Stanford,44,Washington State,14
10,11/5/2011,Sat,California,30,Washington State,7
8,10/22/2011,Sat,Oregon State,44,Washington State,21
3,9/17/2011,Sat,San Diego State,42,Washington State,24
6,10/8/2011,Sat,UCLA,28,Washington State,25
12,11/19/2011,Sat,Utah,30,Washington State,27
13,11/26/2011,Sat,Washington,38,Washington State,21
2,9/10/2011,Sat,Utah State,54,Weber State,17
1,9/3/2011,Sat,Wyoming,35,Weber State,32
1,9/1/2011,Thu,Georgia Tech,63,Western Carolina,21
3,9/17/2011,Sat,Missouri,69,Western Illinois,0
11,11/12/2011,Sat,LSU,42,Western Kentucky,9
5,10/1/2011,Sat,Arkansas State,26,Western Kentucky,22
3,9/17/2011,Sat,Indiana State,44,Western Kentucky,16
1,9/1/2011,Thu,Kentucky,14,Western Kentucky,3
2,9/10/2011,Sat,Navy,40,Western Kentucky,14
4,9/24/2011,Sat, Illinois,23,Western Michigan,20
8,10/22/2011,Sat,Eastern Michigan,14,Western Michigan,10
1,9/3/2011,Sat,Michigan,34,Western Michigan,10
7,10/15/2011,Sat,Northern Illinois,51,Western Michigan,22
18,12/27/2011,Tue,Purdue,37,Western Michigan,32
11,11/8/2011,Tue,Toledo,66,Western Michigan,63
1,9/3/2011,Sat,Virginia,40,William & Mary,3
2,9/10/2011,Sat,Clemson,35,Wofford,27
4,9/24/2011,Sat, Nebraska,38,Wyoming,14
13,11/26/2011,Sat,Boise State,36,Wyoming,14
16,12/17/2011,Sat,Temple,37,Wyoming,15
16,12/17/2011,Sat,Temple,37,Wyoming,15
10,11/5/2011,Sat,TCU,31,Wyoming,20
6,10/8/2011,Sat,Utah State,63,Wyoming,19
1,9/2/2011,Fri,Michigan State,28,Youngstown State,6
