Date,Day,Winner,Pts,Loser,Pts
8/30/2012,Thu,Arizona State,63,Northern Arizona,6
8/30/2012,Thu,Ball State,37,Eastern Michigan,26
8/30/2012,Thu,Brigham Young,30,Washington State,6
8/30/2012,Thu,Central Florida,56,Akron,14
8/30/2012,Thu,Central Michigan,38,Southeast Missouri State,27
8/30/2012,Thu,Connecticut,37,Massachusetts,0
8/30/2012,Thu,Eastern Washington,20,Idaho,3
8/30/2012,Thu,Kent State,41,Towson,21
8/30/2012,Thu,McNeese State,27,Middle Tennessee State,21
8/30/2012,Thu,Minnesota,30,Nevada-Las Vegas,27
8/30/2012,Thu,New Mexico State,49,Sacramento State,19
8/30/2012,Thu,South Carolina,17,Vanderbilt,13
8/30/2012,Thu,UCLA,49,Rice,24
8/30/2012,Thu,Utah,41,Northern Colorado,0
8/30/2012,Thu,Utah State,34,Southern Utah,3
8/31/2012,Fri,Florida Atlantic,7,Wagner,3
8/31/2012,Fri,Michigan State,17,Boise State,13
8/31/2012,Fri,Stanford,20,San Jose State,17
8/31/2012,Fri,Temple,41,Villanova,10
8/31/2012,Fri,Tennessee,35,North Carolina State,21
9/1/2012,Sat,Air Force,49,Idaho State,21
9/1/2012,Sat,Alabama,41,Michigan,14
9/1/2012,Sat,Arizona,24,Toledo,17
9/1/2012,Sat,Arkansas,49,Jacksonville State,24
9/1/2012,Sat,Clemson,26,Auburn,19
9/1/2012,Sat,Colorado State,22,Colorado,17
9/1/2012,Sat,Duke,46,Florida International,26
9/1/2012,Sat,East Carolina,35,Appalachian State,13
9/1/2012,Sat,Florida,27,Bowling Green State,14
9/1/2012,Sat,Florida State,69,Murray State,3
9/1/2012,Sat,Fresno State,37,Weber State,10
9/1/2012,Sat,Georgia,45,Buffalo,23
9/1/2012,Sat,Illinois,24,Western Michigan,7
9/1/2012,Sat,Indiana,24,Indiana State,17
9/1/2012,Sat,Iowa,18,Northern Illinois,17
9/1/2012,Sat,Iowa State,38,Tulsa,23
9/1/2012,Sat,Kansas,31,South Dakota State,17
9/1/2012,Sat,Kansas State,51,Missouri State,9
9/1/2012,Sat,Louisiana,40,Lamar,0
9/1/2012,Sat,LSU,41,North Texas,14
9/1/2012,Sat,Maryland,7,William & Mary,6
9/1/2012,Sat,Miami (Florida),41,Boston College,32
9/1/2012,Sat,Mississippi,49,Central Arkansas,27
9/1/2012,Sat,Mississippi State,56,Jackson State,9
9/1/2012,Sat,Missouri,62,Southeastern Louisiana,10
9/1/2012,Sat,Nebraska,49,Southern Mississippi,20
9/1/2012,Sat,Nevada,31,California,24
9/1/2012,Sat,New Mexico,66,Southern,21
9/1/2012,Sat,North Carolina,62,Elon,0
9/1/2012,Sat,Northwestern,42,Syracuse,41
9/1/2012,Sat,Notre Dame,50,Navy,10
9/1/2012,Sat,Ohio,24,Penn State,14
9/1/2012,Sat,Ohio State,56,Miami (OH),10
9/1/2012,Sat,Oklahoma,24,Texas-El Paso,7
9/1/2012,Sat,Oklahoma State,84,Savannah State,0
9/1/2012,Sat,Oregon,57,Arkansas State,34
9/1/2012,Sat,Purdue,48,Eastern Kentucky,6
9/1/2012,Sat,Rutgers,24,Tulane,12
9/1/2012,Sat,South Florida,34,Chattanooga,13
9/1/2012,Sat,Southern California,49,Hawaii,10
9/1/2012,Sat,Tennessee-Martin,20,Memphis,17
9/1/2012,Sat,Texas,37,Wyoming,17
9/1/2012,Sat,Texas State,30,Houston,13
9/1/2012,Sat,Texas Tech,44,Northwestern State,6
9/1/2012,Sat,Texas-San Antonio,33,South Alabama,31
9/1/2012,Sat,Troy,39,Alabama-Birmingham,29
9/1/2012,Sat,Virginia,43,Richmond,19
9/1/2012,Sat,Wake Forest,20,Liberty,17
9/1/2012,Sat,Washington,21,San Diego State,12
9/1/2012,Sat,West Virginia,69,Marshall,34
9/1/2012,Sat,Western Kentucky,49,Austin Peay,10
9/1/2012,Sat,Wisconsin,26,Northern Iowa,21
9/1/2012,Sat,Youngstown State,31,Pittsburgh,17
9/2/2012,Sun,Baylor,59,Southern Methodist,24
9/2/2012,Sun,Louisville,32,Kentucky,14
9/3/2012,Mon,Virginia Tech,20,Georgia Tech,17
9/6/2012,Thu,Cincinnati,34,Pittsburgh,10
9/7/2012,Fri,Utah State,27,Utah,20
9/8/2012,Sat,Alabama,35,Western Kentucky,0
9/8/2012,Sat,Arizona,59,Oklahoma State,38
9/8/2012,Sat,Arizona State,45,Illinois,14
9/8/2012,Sat,Arkansas State,33,Memphis,28
9/8/2012,Sat,Boston College,34,Maine,3
9/8/2012,Sat,Bowling Green State,21,Idaho,13
9/8/2012,Sat,Brigham Young,45,Weber State,13
9/8/2012,Sat,Buffalo,56,Morgan State,34
9/8/2012,Sat,California,50,Southern Utah,31
9/8/2012,Sat,Clemson,52,Ball State,27
9/8/2012,Sat,Florida,20,Texas A&M,17
9/8/2012,Sat,Florida International,41,Akron,38
9/8/2012,Sat,Florida State,55,Savannah State,0
9/8/2012,Sat,Georgia,41,Missouri,20
9/8/2012,Sat,Georgia Tech,59,Presbyterian,3
9/8/2012,Sat,Illinois State,31,Eastern Michigan,14
9/8/2012,Sat,Indiana,45,Massachusetts,6
9/8/2012,Sat,Iowa State,9,Iowa,6
9/8/2012,Sat,Kansas State,52,Miami (Florida),13
9/8/2012,Sat,Kentucky,47,Kent State,14
9/8/2012,Sat,Louisiana,37,Troy,24
9/8/2012,Sat,LSU,41,Washington,3
9/8/2012,Sat,Louisiana Tech,56,Houston,49
9/8/2012,Sat,Louisiana-Monroe,34,Arkansas,31
9/8/2012,Sat,Louisville,35,Missouri State,7
9/8/2012,Sat,Marshall,52,Western Carolina,24
9/8/2012,Sat,Maryland,36,Temple,27
9/8/2012,Sat,Miami (OH),30,Southern Illinois,14
9/8/2012,Sat,Michigan,31,Air Force,25
9/8/2012,Sat,Michigan State,41,Central Michigan,7
9/8/2012,Sat,Middle Tennessee State,31,Florida Atlantic,17
9/8/2012,Sat,Minnesota,44,New Hampshire,7
9/8/2012,Sat,Mississippi,28,Texas-El Paso,10
9/8/2012,Sat,Mississippi State,28,Auburn,10
9/8/2012,Sat,North Carolina State,10,Connecticut,7
9/8/2012,Sat,North Dakota State,22,Colorado State,7
9/8/2012,Sat,North Texas,34,Texas Southern,7
9/8/2012,Sat,Northern Arizona,17,Nevada-Las Vegas,14
9/8/2012,Sat,Northern Illinois,35,Tennessee-Martin,7
9/8/2012,Sat,Northwestern,23,Vanderbilt,13
9/8/2012,Sat,Notre Dame,20,Purdue,17
9/8/2012,Sat,Ohio,51,New Mexico State,24
9/8/2012,Sat,Ohio State,31,Central Florida,16
9/8/2012,Sat,Oklahoma,69,Florida A&M,13
9/8/2012,Sat,Oregon,42,Fresno State,25
9/8/2012,Sat,Oregon State,10,Wisconsin,7
9/8/2012,Sat,Rice,25,Kansas,24
9/8/2012,Sat,Rutgers,26,Howard,0
9/8/2012,Sat,Sacramento State,30,Colorado,28
9/8/2012,Sat,San Diego State,42,Army,7
9/8/2012,Sat,San Jose State,45,California-Davis,13
9/8/2012,Sat,South Alabama,9,Nicholls State,3
9/8/2012,Sat,South Carolina,48,East Carolina,10
9/8/2012,Sat,South Florida,32,Nevada,31
9/8/2012,Sat,Southern California,42,Syracuse,29
9/8/2012,Sat,Southern Methodist,52,Stephen F. Austin,0
9/8/2012,Sat,Stanford,50,Duke,13
9/8/2012,Sat,Tennessee,51,Georgia State,13
9/8/2012,Sat,Texas,45,New Mexico,0
9/8/2012,Sat,TCU,56,Grambling State,0
9/8/2012,Sat,Texas Tech,58,Texas State,10
9/8/2012,Sat,Texas-San Antonio,27,Texas A&M-Commerce,16
9/8/2012,Sat,Toledo,34,Wyoming,31
9/8/2012,Sat,Tulsa,45,Tulane,10
9/8/2012,Sat,UCLA,36,Nebraska,30
9/8/2012,Sat,Virginia,17,Penn State,16
9/8/2012,Sat,Virginia Tech,42,Austin Peay,7
9/8/2012,Sat,Wake Forest,28,North Carolina,27
9/8/2012,Sat,Washington State,24,Eastern Washington,20
9/8/2012,Sat,Western Michigan,52,Eastern Illinois,21
9/13/2012,Thu,Rutgers,23,South Florida,13
9/14/2012,Fri,Washington State,35,Nevada-Las Vegas,27
9/15/2012,Sat,Akron,66,Morgan State,6
9/15/2012,Sat,Alabama,52,Arkansas,0
9/15/2012,Sat,Arizona,56,South Carolina State,0
9/15/2012,Sat,Auburn,31,Louisiana-Monroe,28
9/15/2012,Sat,Ball State,41,Indiana,39
9/15/2012,Sat,Baylor,48,Sam Houston State,23
9/15/2012,Sat,Boise State,39,Miami (OH),12
9/15/2012,Sat,Cal Poly,24,Wyoming,22
9/15/2012,Sat,Central Florida,33,Florida International,20
9/15/2012,Sat,Cincinnati,23,Delaware State,7
9/15/2012,Sat,Clemson,41,Furman,7
9/15/2012,Sat,Connecticut,24,Maryland,21
9/15/2012,Sat,Duke,54,North Carolina Central,17
9/15/2012,Sat,East Carolina,24,Southern Mississippi,14
9/15/2012,Sat,Florida,37,Tennessee,20
9/15/2012,Sat,Florida State,52,Wake Forest,0
9/15/2012,Sat,Fresno State,69,Colorado,14
9/15/2012,Sat,Georgia,56,Florida Atlantic,20
9/15/2012,Sat,Georgia Tech,56,Virginia,20
9/15/2012,Sat,Hawaii,54,Lamar,2
9/15/2012,Sat,Illinois,44,Charleston Southern,0
9/15/2012,Sat,Iowa,27,Northern Iowa,16
9/15/2012,Sat,Iowa State,37,Western Illinois,3
9/15/2012,Sat,Kansas State,35,North Texas,21
9/15/2012,Sat,LSU,63,Idaho,14
9/15/2012,Sat,Louisiana Tech,56,Rice,37
9/15/2012,Sat,Louisville,39,North Carolina,34
9/15/2012,Sat,Miami (Florida),38,Bethune-Cookman,10
9/15/2012,Sat,Michigan,63,Massachusetts,13
9/15/2012,Sat,Middle Tennessee State,48,Memphis,30
9/15/2012,Sat,Minnesota,28,Western Michigan,23
9/15/2012,Sat,Mississippi State,30,Troy,24
9/15/2012,Sat,Missouri,24,Arizona State,20
9/15/2012,Sat,Nebraska,42,Arkansas State,13
9/15/2012,Sat,Nevada,45,Northwestern State,34
9/15/2012,Sat,North Carolina State,31,South Alabama,7
9/15/2012,Sat,Northern Illinois,41,Army,40
9/15/2012,Sat,Northwestern,22,Boston College,13
9/15/2012,Sat,Notre Dame,20,Michigan State,3
9/15/2012,Sat,Ohio,27,Marshall,24
9/15/2012,Sat,Ohio State,35,California,28
9/15/2012,Sat,Oklahoma State,65,Louisiana,24
9/15/2012,Sat,Oregon,63,Tennessee Tech,14
9/15/2012,Sat,Penn State,34,Navy,7
9/15/2012,Sat,Pittsburgh,35,Virginia Tech,17
9/15/2012,Sat,Purdue,54,Eastern Michigan,16
9/15/2012,Sat,San Diego State,49,North Dakota,41
9/15/2012,Sat,San Jose State,40,Colorado State,20
9/15/2012,Sat,South Carolina,49,Alabama-Birmingham,6
9/15/2012,Sat,Stanford,21,USC,14
9/15/2012,Sat,Syracuse,28,Stony Brook,17
9/15/2012,Sat,Texas,66,Mississippi,31
9/15/2012,Sat,Texas A&M,48,Southern Methodist,3
9/15/2012,Sat,TCU,20,Kansas,6
9/15/2012,Sat,Texas Tech,49,New Mexico,14
9/15/2012,Sat,Texas-El Paso,41,New Mexico State,28
9/15/2012,Sat,Texas-San Antonio,38,Georgia State,14
9/15/2012,Sat,Toledo,27,Bowling Green State,15
9/15/2012,Sat,Tulsa,66,Nicholls State,16
9/15/2012,Sat,UCLA,37,Houston,6
9/15/2012,Sat,Utah,24,Brigham Young,21
9/15/2012,Sat,Vanderbilt,58,Presbyterian,0
9/15/2012,Sat,Washington,52,Portland State,13
9/15/2012,Sat,West Virginia,42,James Madison,12
9/15/2012,Sat,Western Kentucky,32,Kentucky,31
9/15/2012,Sat,Wisconsin,16,Utah State,14
9/19/2012,Wed,Kent State,23,Buffalo,7
9/20/2012,Thu,Boise State,7,Brigham Young,6
9/21/2012,Fri,Baylor,47,Louisiana-Monroe,42
9/22/2012,Sat,Alabama,40,Florida Atlantic,7
9/22/2012,Sat,Arizona State,37,Utah,7
9/22/2012,Sat,Arkansas State,56,Alcorn State,0
9/22/2012,Sat,Ball State,31,South Florida,27
9/22/2012,Sat,Central Michigan,32,Iowa,31
9/22/2012,Sat,Colorado,35,Washington State,34
9/22/2012,Sat,Duke,38,Memphis,14
9/22/2012,Sat,Florida,38,Kentucky,0
9/22/2012,Sat,Florida State,49,Clemson,37
9/22/2012,Sat,Georgia,48,Vanderbilt,3
9/22/2012,Sat,Kansas State,24,Oklahoma,19
9/22/2012,Sat,LSU,12,Auburn,10
9/22/2012,Sat,Louisiana Tech,52,Illinois,24
9/22/2012,Sat,Louisville,28,Florida International,21
9/22/2012,Sat,Marshall,54,Rice,51
9/22/2012,Sat,Miami (Florida),42,Georgia Tech,36
9/22/2012,Sat,Miami (OH),27,Massachusetts,16
9/22/2012,Sat,Michigan State,23,Eastern Michigan,7
9/22/2012,Sat,Minnesota,17,Syracuse,10
9/22/2012,Sat,Mississippi,39,Tulane,0
9/22/2012,Sat,Mississippi State,30,South Alabama,10
9/22/2012,Sat,Navy,41,Virginia Military Institute,3
9/22/2012,Sat,Nebraska,73,Idaho State,7
9/22/2012,Sat,Nevada,69,Hawaii,24
9/22/2012,Sat,Nevada-Las Vegas,38,Air Force,35
9/22/2012,Sat,New Mexico,27,New Mexico State,14
9/22/2012,Sat,North Carolina,27,East Carolina,6
9/22/2012,Sat,North Carolina State,52,Citadel,14
9/22/2012,Sat,Northern Illinois,30,Kansas,23
9/22/2012,Sat,Northwestern,38,South Dakota,7
9/22/2012,Sat,Notre Dame,13,Michigan,6
9/22/2012,Sat,Ohio,44,Norfolk State,10
9/22/2012,Sat,Ohio State,29,Alabama-Birmingham,15
9/22/2012,Sat,Oregon,49,Arizona,0
9/22/2012,Sat,Oregon State,27,UCLA,20
9/22/2012,Sat,Penn State,24,Temple,13
9/22/2012,Sat,Pittsburgh,55,Gardner-Webb,10
9/22/2012,Sat,Rutgers,35,Arkansas,26
9/22/2012,Sat,San Jose State,38,San Diego State,34
9/22/2012,Sat,South Carolina,31,Missouri,10
9/22/2012,Sat,Southern California,27,California,9
9/22/2012,Sat,Tennessee,47,Akron,26
9/22/2012,Sat,Texas A&M,70,South Carolina State,14
9/22/2012,Sat,TCU,27,Virginia,7
9/22/2012,Sat,Texas State,41,Stephen F. Austin,37
9/22/2012,Sat,Texas-San Antonio,56,Northwestern Oklahoma State,3
9/22/2012,Sat,Toledo,38,Coastal Carolina,28
9/22/2012,Sat,Troy,14,North Texas,7
9/22/2012,Sat,Tulsa,27,Fresno State,26
9/22/2012,Sat,Utah State,31,Colorado State,19
9/22/2012,Sat,Virginia Tech,37,Bowling Green State,0
9/22/2012,Sat,Wake Forest,49,Army,37
9/22/2012,Sat,West Virginia,31,Maryland,21
9/22/2012,Sat,Western Kentucky,42,Southern Mississippi,17
9/22/2012,Sat,Western Michigan,30,Connecticut,24
9/22/2012,Sat,Wisconsin,37,Texas-El Paso,26
9/22/2012,Sat,Wyoming,40,Idaho,37
9/27/2012,Thu,Washington,17,Stanford,13
9/28/2012,Fri,Brigham Young,47,Hawaii,0
9/29/2012,Sat,Air Force,42,Colorado State,21
9/29/2012,Sat,Alabama,33,Mississippi,14
9/29/2012,Sat,Arizona State,27,California,17
9/29/2012,Sat,Boise State,32,New Mexico,29
9/29/2012,Sat,Bowling Green State,48,Rhode Island,8
9/29/2012,Sat,Cincinnati,27,Virginia Tech,24
9/29/2012,Sat,Clemson,45,Boston College,31
9/29/2012,Sat,Connecticut,24,Buffalo,17
9/29/2012,Sat,Duke,34,Wake Forest,27
9/29/2012,Sat,East Carolina,28,Texas-El Paso,18
9/29/2012,Sat,Florida State,30,South Florida,17
9/29/2012,Sat,Fresno State,52,San Diego State,40
9/29/2012,Sat,Georgia,51,Tennessee,44
9/29/2012,Sat,Houston,35,Rice,14
9/29/2012,Sat,Iowa,31,Minnesota,13
9/29/2012,Sat,Kent State,45,Ball State,43
9/29/2012,Sat,Louisiana,48,Florida International,20
9/29/2012,Sat,LSU,38,Towson,22
9/29/2012,Sat,Louisiana Tech,44,Virginia,38
9/29/2012,Sat,Louisiana-Monroe,63,Tulane,10
9/29/2012,Sat,Louisville,21,Southern Mississippi,17
9/29/2012,Sat,Miami (Florida),44,North Carolina State,37
9/29/2012,Sat,Miami (OH),56,Akron,49
9/29/2012,Sat,Middle Tennessee State,49,Georgia Tech,28
9/29/2012,Sat,Missouri,21,Central Florida,16
9/29/2012,Sat,Nebraska,30,Wisconsin,27
9/29/2012,Sat,Nevada,34,Texas State,21
9/29/2012,Sat,North Carolina,66,Idaho,0
9/29/2012,Sat,North Texas,20,Florida Atlantic,14
9/29/2012,Sat,Northern Illinois,55,Central Michigan,24
9/29/2012,Sat,Northwestern,44,Indiana,29
9/29/2012,Sat,Ohio,37,Massachusetts,34
9/29/2012,Sat,Ohio State,17,Michigan State,16
9/29/2012,Sat,Oregon,51,Washington State,26
9/29/2012,Sat,Oregon State,38,Arizona,35
9/29/2012,Sat,Penn State,35,Illinois,7
9/29/2012,Sat,Purdue,51,Marshall,41
9/29/2012,Sat,San Jose State,12,Navy,0
9/29/2012,Sat,South Carolina,38,Kentucky,17
9/29/2012,Sat,Stony Brook,23,Army,3
9/29/2012,Sat,Texas,41,Oklahoma State,36
9/29/2012,Sat,Texas A&M,58,Arkansas,10
9/29/2012,Sat,TCU,24,Southern Methodist,16
9/29/2012,Sat,Texas Tech,24,Iowa State,13
9/29/2012,Sat,Texas-San Antonio,35,New Mexico State,14
9/29/2012,Sat,Toledo,37,Western Michigan,17
9/29/2012,Sat,Troy,31,South Alabama,10
9/29/2012,Sat,Tulsa,49,Alabama-Birmingham,42
9/29/2012,Sat,UCLA,42,Colorado,14
9/29/2012,Sat,Utah State,35,Nevada-Las Vegas,13
9/29/2012,Sat,West Virginia,70,Baylor,63
9/29/2012,Sat,Western Kentucky,26,Arkansas State,13
10/4/2012,Thu,Arkansas State,34,Florida International,20
10/4/2012,Thu,Central Florida,40,East Carolina,20
10/4/2012,Thu,Southern California,38,Utah,28
10/5/2012,Fri,Brigham Young,6,Utah State,3
10/5/2012,Fri,Syracuse,14,Pittsburgh,13
10/6/2012,Sat,Alabama-Birmingham,52,Southeastern Louisiana,3
10/6/2012,Sat,Arkansas,24,Auburn,7
10/6/2012,Sat,Army,34,Boston College,31
10/6/2012,Sat,Boise State,40,Southern Mississippi,14
10/6/2012,Sat,Bowling Green State,24,Akron,10
10/6/2012,Sat,California,43,UCLA,17
10/6/2012,Sat,Cincinnati,52,Miami (OH),14
10/6/2012,Sat,Clemson,47,Georgia Tech,31
10/6/2012,Sat,Duke,42,Virginia,17
10/6/2012,Sat,Florida,14,LSU,6
10/6/2012,Sat,Fresno State,28,Colorado State,7
10/6/2012,Sat,Houston,44,North Texas,21
10/6/2012,Sat,Idaho,26,New Mexico State,18
10/6/2012,Sat,Iowa State,37,TCU,23
10/6/2012,Sat,Kansas State,56,Kansas,16
10/6/2012,Sat,Kent State,41,Eastern Michigan,14
10/6/2012,Sat,Louisiana,41,Tulane,13
10/6/2012,Sat,Louisiana Tech,58,Nevada-Las Vegas,31
10/6/2012,Sat,Louisiana-Monroe,31,Middle Tennessee State,17
10/6/2012,Sat,Maryland,19,Wake Forest,14
10/6/2012,Sat,Memphis,14,Rice,10
10/6/2012,Sat,Michigan,44,Purdue,13
10/6/2012,Sat,Michigan State,31,Indiana,27
10/6/2012,Sat,Mississippi State,27,Kentucky,14
10/6/2012,Sat,Navy,28,Air Force,21
10/6/2012,Sat,Nevada,35,Wyoming,28
10/6/2012,Sat,New Mexico,35,Texas State,14
10/6/2012,Sat,North Carolina,48,Virginia Tech,34
10/6/2012,Sat,North Carolina State,17,Florida State,16
10/6/2012,Sat,Northern Illinois,35,Ball State,23
10/6/2012,Sat,Notre Dame,41,Miami (Florida),3
10/6/2012,Sat,Ohio,38,Buffalo,31
10/6/2012,Sat,Ohio State,63,Nebraska,38
10/6/2012,Sat,Oklahoma,41,Texas Tech,20
10/6/2012,Sat,Oregon,52,Washington,21
10/6/2012,Sat,Oregon State,19,Washington State,6
10/6/2012,Sat,Penn State,39,Northwestern,28
10/6/2012,Sat,Rutgers,19,Connecticut,3
10/6/2012,Sat,San Diego State,52,Hawaii,14
10/6/2012,Sat,South Carolina,35,Georgia,7
10/6/2012,Sat,Southern Methodist,17,Texas-El Paso,0
10/6/2012,Sat,Stanford,54,Arizona,48
10/6/2012,Sat,Temple,37,South Florida,28
10/6/2012,Sat,Texas A&M,30,Mississippi,27
10/6/2012,Sat,Toledo,50,Central Michigan,35
10/6/2012,Sat,Tulsa,45,Marshall,38
10/6/2012,Sat,Vanderbilt,19,Missouri,15
10/6/2012,Sat,West Virginia,48,Texas,45
10/6/2012,Sat,Western Michigan,52,Massachusetts,14
10/6/2012,Sat,Wisconsin,31,Illinois,14
10/11/2012,Thu,Arizona State,51,Colorado,17
10/11/2012,Thu,Tulsa,33,Texas-El Paso,11
10/11/2012,Thu,Western Kentucky,31,Troy,26
10/12/2012,Fri,Navy,31,Central Michigan,13
10/13/2012,Sat,Air Force,28,Wyoming,27
10/13/2012,Sat,Alabama,42,Missouri,10
10/13/2012,Sat,Arkansas,49,Kentucky,7
10/13/2012,Sat,Arkansas State,36,South Alabama,29
10/13/2012,Sat,Ball State,30,Western Michigan,24
10/13/2012,Sat,Boise State,20,Fresno State,10
10/13/2012,Sat,Bowling Green State,37,Miami (OH),12
10/13/2012,Sat,California,31,Washington State,17
10/13/2012,Sat,Central Florida,38,Southern Mississippi,31
10/13/2012,Sat,Cincinnati,49,Fordham,17
10/13/2012,Sat,East Carolina,41,Memphis,7
10/13/2012,Sat,Florida,31,Vanderbilt,17
10/13/2012,Sat,Florida State,51,Boston College,7
10/13/2012,Sat,Houston,39,Alabama-Birmingham,17
10/13/2012,Sat,Iowa,19,Michigan State,16
10/13/2012,Sat,Kansas State,27,Iowa State,21
10/13/2012,Sat,Kent State,31,Army,17
10/13/2012,Sat,LSU,23,South Carolina,21
10/13/2012,Sat,Louisiana-Monroe,35,Florida Atlantic,14
10/13/2012,Sat,Louisville,45,Pittsburgh,35
10/13/2012,Sat,Maryland,27,Virginia,20
10/13/2012,Sat,Michigan,45,Illinois,0
10/13/2012,Sat,Middle Tennessee State,34,Florida International,30
10/13/2012,Sat,Mississippi,41,Auburn,20
10/13/2012,Sat,Mississippi State,41,Tennessee,31
10/13/2012,Sat,Nevada,42,Nevada-Las Vegas,37
10/13/2012,Sat,New Mexico,35,Hawaii,23
10/13/2012,Sat,North Carolina,18,Miami (Florida),14
10/13/2012,Sat,Northern Illinois,45,Buffalo,3
10/13/2012,Sat,Northwestern,21,Minnesota,13
