Date,Day,Winner,Pts,Loser,Pts
10/13/2012,Sat,Notre Dame,20,Stanford,13
10/13/2012,Sat,Ohio,34,Akron,28
10/13/2012,Sat,Ohio State,52,Indiana,49
10/13/2012,Sat,Oklahoma,63,Texas,21
10/13/2012,Sat,Oklahoma State,20,Kansas,14
10/13/2012,Sat,Oregon State,42,Brigham Young,24
10/13/2012,Sat,Rice,34,Texas-San Antonio,14
10/13/2012,Sat,Rutgers,23,Syracuse,15
10/13/2012,Sat,San Diego State,38,Colorado State,14
10/13/2012,Sat,Southern California,24,Washington,14
10/13/2012,Sat,Temple,17,Connecticut,14
10/13/2012,Sat,Texas A&M,59,Louisiana Tech,57
10/13/2012,Sat,TCU,49,Baylor,21
10/13/2012,Sat,Texas State,38,Idaho,7
10/13/2012,Sat,Texas Tech,49,West Virginia,14
10/13/2012,Sat,Toledo,52,Eastern Michigan,47
10/13/2012,Sat,Tulane,27,Southern Methodist,26
10/13/2012,Sat,UCLA,21,Utah,14
10/13/2012,Sat,Utah State,49,San Jose State,27
10/13/2012,Sat,Virginia Tech,41,Duke,20
10/13/2012,Sat,Wisconsin,38,Purdue,14
10/16/2012,Tue,North Texas,30,Louisiana,23
10/18/2012,Thu,Oregon,43,Arizona State,21
10/18/2012,Thu,Southern Methodist,72,Houston,42
10/19/2012,Fri,Syracuse,40,Connecticut,10
10/20/2012,Sat,Air Force,28,New Mexico,23
10/20/2012,Sat,Alabama,44,Tennessee,13
10/20/2012,Sat,Arizona,52,Washington,17
10/20/2012,Sat,Ball State,41,Central Michigan,30
10/20/2012,Sat,Boise State,32,Nevada-Las Vegas,7
10/20/2012,Sat,Bowling Green State,24,Massachusetts,0
10/20/2012,Sat,Central Florida,35,Memphis,17
10/20/2012,Sat,Clemson,38,Virginia Tech,17
10/20/2012,Sat,Duke,33,North Carolina,30
10/20/2012,Sat,East Carolina,42,Alabama-Birmingham,35
10/20/2012,Sat,Eastern Michigan,48,Army,38
10/20/2012,Sat,Florida,44,South Carolina,11
10/20/2012,Sat,Florida State,33,Miami (Florida),20
10/20/2012,Sat,Fresno State,42,Wyoming,14
10/20/2012,Sat,Georgia,29,Kentucky,24
10/20/2012,Sat,Georgia Tech,37,Boston College,17
10/20/2012,Sat,Kansas State,55,West Virginia,14
10/20/2012,Sat,Kent State,41,Western Michigan,24
10/20/2012,Sat,LSU,24,Texas A&M,19
10/20/2012,Sat,Louisiana Tech,70,Idaho,28
10/20/2012,Sat,Louisiana-Monroe,43,Western Kentucky,42
10/20/2012,Sat,Louisville,27,South Florida,25
10/20/2012,Sat,Marshall,59,Southern Mississippi,24
10/20/2012,Sat,Michigan,12,Michigan State,10
10/20/2012,Sat,Mississippi State,45,Middle Tennessee State,3
10/20/2012,Sat,Navy,31,Indiana,30
10/20/2012,Sat,Nebraska,29,Northwestern,28
10/20/2012,Sat,North Carolina State,20,Maryland,18
10/20/2012,Sat,Northern Illinois,37,Akron,7
10/20/2012,Sat,Notre Dame,17,Brigham Young,14
10/20/2012,Sat,Ohio State,29,Purdue,22
10/20/2012,Sat,Oklahoma,52,Kansas,7
10/20/2012,Sat,Oklahoma State,31,Iowa State,10
10/20/2012,Sat,Oregon State,21,Utah,7
10/20/2012,Sat,Penn State,38,Iowa,14
10/20/2012,Sat,Pittsburgh,20,Buffalo,6
10/20/2012,Sat,Rutgers,35,Temple,10
10/20/2012,Sat,San Diego State,39,Nevada,38
10/20/2012,Sat,San Jose State,52,Texas-San Antonio,24
10/20/2012,Sat,South Alabama,37,Florida Atlantic,34
10/20/2012,Sat,Southern California,50,Colorado,6
10/20/2012,Sat,Stanford,21,California,3
10/20/2012,Sat,Texas,56,Baylor,50
10/20/2012,Sat,Texas Tech,56,TCU,53
10/20/2012,Sat,Texas-El Paso,24,Tulane,20
10/20/2012,Sat,Toledo,29,Cincinnati,23
10/20/2012,Sat,Troy,38,Florida International,37
10/20/2012,Sat,Tulsa,28,Rice,24
10/20/2012,Sat,Utah State,41,New Mexico State,7
10/20/2012,Sat,Vanderbilt,17,Auburn,13
10/20/2012,Sat,Wake Forest,16,Virginia,10
10/20/2012,Sat,Wisconsin,38,Minnesota,13
10/23/2012,Tue,Arkansas State,50,Louisiana,27
10/25/2012,Thu,Clemson,42,Wake Forest,13
10/26/2012,Fri,Air Force,48,Nevada,31
10/26/2012,Fri,Louisville,34,Cincinnati,31
10/27/2012,Sat,Alabama,38,Mississippi State,7
10/27/2012,Sat,Arizona,39,USC,36
10/27/2012,Sat,Ball State,30,Army,22
10/27/2012,Sat,Boise State,45,Wyoming,14
10/27/2012,Sat,Boston College,20,Maryland,17
10/27/2012,Sat,Bowling Green State,24,Eastern Michigan,3
10/27/2012,Sat,Brigham Young,41,Georgia Tech,17
10/27/2012,Sat,Central Florida,54,Marshall,17
10/27/2012,Sat,Central Michigan,35,Akron,14
10/27/2012,Sat,Colorado State,42,Hawaii,27
10/27/2012,Sat,Florida Atlantic,34,Troy,27
10/27/2012,Sat,Florida State,48,Duke,7
10/27/2012,Sat,Fresno State,49,New Mexico,32
10/27/2012,Sat,Georgia,17,Florida,9
10/27/2012,Sat,Houston,45,Texas-El Paso,35
10/27/2012,Sat,Indiana,31,Illinois,17
10/27/2012,Sat,Iowa State,35,Baylor,21
10/27/2012,Sat,Kansas State,55,Texas Tech,24
10/27/2012,Sat,Kent State,35,Rutgers,23
10/27/2012,Sat,Louisiana Tech,28,New Mexico State,14
10/27/2012,Sat,Louisiana-Monroe,38,South Alabama,24
10/27/2012,Sat,Miami (OH),23,Ohio,20
10/27/2012,Sat,Michigan State,16,Wisconsin,13
10/27/2012,Sat,Middle Tennessee State,38,North Texas,21
10/27/2012,Sat,Minnesota,44,Purdue,28
10/27/2012,Sat,Mississippi,30,Arkansas,27
10/27/2012,Sat,Missouri,33,Kentucky,10
10/27/2012,Sat,Navy,56,East Carolina,28
10/27/2012,Sat,Nebraska,23,Michigan,9
10/27/2012,Sat,North Carolina,43,North Carolina State,35
10/27/2012,Sat,Northern Illinois,48,Western Michigan,34
10/27/2012,Sat,Northwestern,28,Iowa,17
10/27/2012,Sat,Notre Dame,30,Oklahoma,13
10/27/2012,Sat,Ohio State,35,Penn State,23
10/27/2012,Sat,Oklahoma State,36,TCU,14
10/27/2012,Sat,Oregon,70,Colorado,14
10/27/2012,Sat,Pittsburgh,47,Temple,17
10/27/2012,Sat,Rice,44,Southern Mississippi,17
10/27/2012,Sat,San Diego State,24,Nevada-Las Vegas,13
10/27/2012,Sat,San Jose State,31,Texas State,20
10/27/2012,Sat,South Carolina,38,Tennessee,35
10/27/2012,Sat,Southern Methodist,44,Memphis,13
10/27/2012,Sat,Stanford,24,Washington State,17
10/27/2012,Sat,Syracuse,37,South Florida,36
10/27/2012,Sat,Texas,21,Kansas,17
10/27/2012,Sat,Texas A&M,63,Auburn,21
10/27/2012,Sat,Toledo,25,Buffalo,20
10/27/2012,Sat,Tulane,55,Alabama-Birmingham,45
10/27/2012,Sat,UCLA,45,Arizona State,43
10/27/2012,Sat,Utah,49,California,27
10/27/2012,Sat,Utah State,48,Texas-San Antonio,17
10/27/2012,Sat,Vanderbilt,49,Massachusetts,7
10/27/2012,Sat,Washington,20,Oregon State,17
10/27/2012,Sat,Western Kentucky,14,Florida International,6
11/1/2012,Thu,Miami (Florida),30,Virginia Tech,12
11/1/2012,Thu,Middle Tennessee State,34,Western Kentucky,29
11/1/2012,Thu,Ohio,45,Eastern Michigan,14
11/2/2012,Fri,Washington,21,California,13
11/3/2012,Sat,Alabama,21,LSU,17
11/3/2012,Sat,Alabama-Birmingham,27,Southern Mississippi,19
11/3/2012,Sat,Arkansas,19,Tulsa,15
11/3/2012,Sat,Arkansas State,37,North Texas,19
11/3/2012,Sat,Army,41,Air Force,21
11/3/2012,Sat,Auburn,42,New Mexico State,7
11/3/2012,Sat,Baylor,41,Kansas,14
11/3/2012,Sat,Buffalo,27,Miami (OH),24
11/3/2012,Sat,Central Florida,42,Southern Methodist,17
11/3/2012,Sat,Cincinnati,35,Syracuse,24
11/3/2012,Sat,Clemson,56,Duke,20
11/3/2012,Sat,East Carolina,48,Houston,28
11/3/2012,Sat,Florida,14,Missouri,7
11/3/2012,Sat,Florida International,28,South Alabama,20
11/3/2012,Sat,Fresno State,45,Hawaii,10
11/3/2012,Sat,Georgia,37,Mississippi,10
11/3/2012,Sat,Georgia Tech,33,Maryland,13
11/3/2012,Sat,Indiana,24,Iowa,21
11/3/2012,Sat,Kansas State,44,Oklahoma State,30
11/3/2012,Sat,Kent State,35,Akron,24
11/3/2012,Sat,Louisiana,40,Louisiana-Monroe,24
11/3/2012,Sat,Louisiana Tech,51,Texas-San Antonio,27
11/3/2012,Sat,Louisville,45,Temple,17
11/3/2012,Sat,Marshall,38,Memphis,28
11/3/2012,Sat,Michigan,35,Minnesota,13
11/3/2012,Sat,Navy,24,Florida Atlantic,17
11/3/2012,Sat,Nebraska,28,Michigan State,24
11/3/2012,Sat,Nevada-Las Vegas,35,New Mexico,7
11/3/2012,Sat,Northern Illinois,63,Massachusetts,0
11/3/2012,Sat,Notre Dame,29,Pittsburgh,26
11/3/2012,Sat,Ohio State,52,Illinois,22
11/3/2012,Sat,Oklahoma,35,Iowa State,20
11/3/2012,Sat,Oregon,62,USC,51
11/3/2012,Sat,Oregon State,36,Arizona State,26
11/3/2012,Sat,Penn State,34,Purdue,9
11/3/2012,Sat,Rice,49,Tulane,47
11/3/2012,Sat,San Diego State,21,Boise State,19
11/3/2012,Sat,San Jose State,42,Idaho,13
11/3/2012,Sat,South Florida,13,Connecticut,6
11/3/2012,Sat,Stanford,48,Colorado,0
11/3/2012,Sat,Tennessee,55,Troy,48
11/3/2012,Sat,Texas,31,Texas Tech,22
11/3/2012,Sat,Texas A&M,38,Mississippi State,13
11/3/2012,Sat,TCU,39,West Virginia,38
11/3/2012,Sat,UCLA,66,Arizona,10
11/3/2012,Sat,Utah,49,Washington State,6
11/3/2012,Sat,Utah State,38,Texas State,7
11/3/2012,Sat,Vanderbilt,40,Kentucky,0
11/3/2012,Sat,Virginia,33,North Carolina State,6
11/3/2012,Sat,Wake Forest,28,Boston College,14
11/3/2012,Sat,Western Michigan,42,Central Michigan,31
11/3/2012,Sat,Wyoming,45,Colorado State,31
11/6/2012,Tue,Ball State,34,Toledo,27
11/7/2012,Wed,Bowling Green State,26,Ohio,14
11/8/2012,Thu,Arkansas State,45,Louisiana-Monroe,23
11/8/2012,Thu,Florida State,28,Virginia Tech,22
11/9/2012,Fri,Connecticut,24,Pittsburgh,17
11/10/2012,Sat,Alabama-Birmingham,38,Marshall,31
11/10/2012,Sat,Arizona,56,Colorado,31
11/10/2012,Sat,Boise State,49,Hawaii,14
11/10/2012,Sat,Brigham Young,52,Idaho,13
11/10/2012,Sat,Buffalo,29,Western Michigan,24
11/10/2012,Sat,Central Florida,31,Texas-El Paso,24
11/10/2012,Sat,Central Michigan,34,Eastern Michigan,31
11/10/2012,Sat,Cincinnati,34,Temple,10
11/10/2012,Sat,Clemson,45,Maryland,10
11/10/2012,Sat,Colorado State,33,Nevada-Las Vegas,11
11/10/2012,Sat,Florida,27,Louisiana,20
11/10/2012,Sat,Florida Atlantic,37,Western Kentucky,28
11/10/2012,Sat,Fresno State,52,Nevada,36
11/10/2012,Sat,Georgia,38,Auburn,0
11/10/2012,Sat,Georgia Tech,68,North Carolina,50
11/10/2012,Sat,Kansas State,23,TCU,10
11/10/2012,Sat,Kent State,48,Miami (OH),32
11/10/2012,Sat,LSU,37,Mississippi State,17
11/10/2012,Sat,Louisiana Tech,62,Texas State,55
11/10/2012,Sat,Massachusetts,22,Akron,14
11/10/2012,Sat,Memphis,37,Tulane,23
11/10/2012,Sat,Michigan,38,Northwestern,31
11/10/2012,Sat,Minnesota,17,Illinois,3
11/10/2012,Sat,Missouri,51,Tennessee,48
11/10/2012,Sat,Nebraska,32,Penn State,23
11/10/2012,Sat,North Carolina State,37,Wake Forest,6
11/10/2012,Sat,North Texas,24,South Alabama,14
11/10/2012,Sat,Notre Dame,21,Boston College,6
11/10/2012,Sat,Oklahoma,42,Baylor,34
11/10/2012,Sat,Oklahoma State,55,West Virginia,34
11/10/2012,Sat,Oregon,59,California,17
11/10/2012,Sat,Purdue,27,Iowa,24
11/10/2012,Sat,Rutgers,28,Army,7
11/10/2012,Sat,San Diego State,28,Air Force,9
11/10/2012,Sat,San Jose State,47,New Mexico State,7
11/10/2012,Sat,South Carolina,38,Arkansas,20
11/10/2012,Sat,Southern California,38,Arizona State,17
11/10/2012,Sat,Southern Methodist,34,Southern Mississippi,6
11/10/2012,Sat,Stanford,27,Oregon State,23
11/10/2012,Sat,Syracuse,45,Louisville,26
11/10/2012,Sat,Texas,33,Iowa State,7
11/10/2012,Sat,Texas A&M,29,Alabama,24
11/10/2012,Sat,Texas Tech,41,Kansas,34
11/10/2012,Sat,Texas-San Antonio,31,McNeese State,24
11/10/2012,Sat,Troy,41,Navy,31
11/10/2012,Sat,Tulsa,41,Houston,7
11/10/2012,Sat,UCLA,44,Washington State,36
11/10/2012,Sat,Vanderbilt,27,Mississippi,26
11/10/2012,Sat,Virginia,41,Miami (Florida),40
11/10/2012,Sat,Washington,34,Utah,15
11/10/2012,Sat,Wisconsin,62,Indiana,14
11/10/2012,Sat,Wyoming,28,New Mexico,23
11/14/2012,Wed,Ball State,52,Ohio,27
11/14/2012,Wed,Northern Illinois,31,Toledo,24
11/15/2012,Thu,North Carolina,37,Virginia,13
11/16/2012,Fri,Air Force,21,Hawaii,7
11/16/2012,Fri,Florida International,34,Florida Atlantic,24
11/17/2012,Sat,Alabama,49,Western Carolina,0
11/17/2012,Sat,Arizona,34,Utah,24
11/17/2012,Sat,Arizona State,46,Washington State,7
11/17/2012,Sat,Arkansas State,41,Troy,34
11/17/2012,Sat,Auburn,51,Alabama A&M,7
11/17/2012,Sat,Baylor,52,Kansas State,24
11/17/2012,Sat,Boise State,42,Colorado State,14
11/17/2012,Sat,Buffalo,29,Massachusetts,19
11/17/2012,Sat,Central Michigan,30,Miami (OH),16
11/17/2012,Sat,Clemson,62,North Carolina State,48
11/17/2012,Sat,East Carolina,28,Tulane,23
11/17/2012,Sat,Eastern Michigan,29,Western Michigan,23
11/17/2012,Sat,Florida,23,Jacksonville State,0
11/17/2012,Sat,Florida State,41,Maryland,14
11/17/2012,Sat,Georgia,45,Georgia Southern,14
11/17/2012,Sat,Georgia Tech,42,Duke,24
11/17/2012,Sat,Iowa State,51,Kansas,23
11/17/2012,Sat,Kent State,31,Bowling Green State,24
11/17/2012,Sat,Kentucky,34,Samford,3
11/17/2012,Sat,Louisiana,31,Western Kentucky,27
11/17/2012,Sat,LSU,41,Mississippi,35
11/17/2012,Sat,Louisiana-Monroe,42,North Texas,16
11/17/2012,Sat,Marshall,44,Houston,41
11/17/2012,Sat,Memphis,46,Alabama-Birmingham,9
11/17/2012,Sat,Miami (Florida),40,South Florida,9
11/17/2012,Sat,Michigan,42,Iowa,17
11/17/2012,Sat,Middle Tennessee State,20,South Alabama,12
11/17/2012,Sat,Mississippi State,45,Arkansas,14
11/17/2012,Sat,Navy,21,Texas State,10
11/17/2012,Sat,Nebraska,38,Minnesota,14
11/17/2012,Sat,Nevada,31,New Mexico,24
11/17/2012,Sat,Northwestern,23,Michigan State,20
11/17/2012,Sat,Notre Dame,38,Wake Forest,0
11/17/2012,Sat,Ohio State,21,Wisconsin,14
11/17/2012,Sat,Oklahoma,50,West Virginia,49
11/17/2012,Sat,Oklahoma State,59,Texas Tech,21
11/17/2012,Sat,Oregon State,62,California,14
11/17/2012,Sat,Penn State,45,Indiana,22
11/17/2012,Sat,Purdue,20,Illinois,17
11/17/2012,Sat,Rice,36,Southern Methodist,14
11/17/2012,Sat,Rutgers,10,Cincinnati,3
11/17/2012,Sat,San Jose State,20,Brigham Young,14
11/17/2012,Sat,South Carolina,24,Wofford,7
11/17/2012,Sat,Stanford,17,Oregon,14
11/17/2012,Sat,Syracuse,31,Missouri,27
11/17/2012,Sat,Temple,63,Army,32
11/17/2012,Sat,Texas A&M,47,Sam Houston State,28
11/17/2012,Sat,Texas-El Paso,34,Southern Mississippi,33
11/17/2012,Sat,Texas-San Antonio,34,Idaho,27
11/17/2012,Sat,Tulsa,23,Central Florida,21
11/17/2012,Sat,UCLA,38,USC,28
11/17/2012,Sat,Utah State,48,Louisiana Tech,41
11/17/2012,Sat,Vanderbilt,41,Tennessee,18
11/17/2012,Sat,Virginia Tech,30,Boston College,23
11/17/2012,Sat,Washington,38,Colorado,3
11/17/2012,Sat,Wyoming,28,Nevada-Las Vegas,23
11/20/2012,Tue,Toledo,35,Akron,23
11/22/2012,Thu,TCU,20,Texas,13
11/23/2012,Fri,Arizona State,41,Arizona,34
11/23/2012,Fri,Ball State,31,Miami (OH),24
11/23/2012,Fri,Bowling Green State,21,Buffalo,7
11/23/2012,Fri,Central Michigan,42,Massachusetts,21
11/23/2012,Fri,Cincinnati,27,South Florida,10
11/23/2012,Fri,East Carolina,65,Marshall,59
11/23/2012,Fri,Kent State,28,Ohio,6
11/23/2012,Fri,LSU,20,Arkansas,13
11/23/2012,Fri,Nebraska,13,Iowa,7
11/23/2012,Fri,Northern Illinois,49,Eastern Michigan,7
11/23/2012,Fri,Syracuse,38,Temple,20
11/23/2012,Fri,Utah,42,Colorado,35
11/23/2012,Fri,Washington State,31,Washington,28
11/23/2012,Fri,West Virginia,31,Iowa State,24
11/24/2012,Sat,Alabama,49,Auburn,0
11/24/2012,Sat,Baylor,52,Texas Tech,45
11/24/2012,Sat,Brigham Young,50,New Mexico State,14
11/24/2012,Sat,Central Florida,49,Alabama-Birmingham,24
11/24/2012,Sat,Colorado State,24,New Mexico,20
11/24/2012,Sat,Connecticut,23,Louisville,20
11/24/2012,Sat,Florida,37,Florida State,26
11/24/2012,Sat,Fresno State,48,Air Force,15
11/24/2012,Sat,Georgia,42,Georgia Tech,10
11/24/2012,Sat,Hawaii,48,Nevada-Las Vegas,10
11/24/2012,Sat,Houston,40,Tulane,17
11/24/2012,Sat,Louisiana,52,South Alabama,30
11/24/2012,Sat,Louisiana-Monroe,23,Florida International,17
11/24/2012,Sat,Memphis,42,Southern Mississippi,24
11/24/2012,Sat,Miami (Florida),52,Duke,45
11/24/2012,Sat,Michigan State,26,Minnesota,10
11/24/2012,Sat,Middle Tennessee State,24,Troy,21
11/24/2012,Sat,Mississippi,41,Mississippi State,24
11/24/2012,Sat,North Carolina,45,Maryland,38
11/24/2012,Sat,North Carolina State,27,Boston College,10
11/24/2012,Sat,Northwestern,50,Illinois,14
11/24/2012,Sat,Notre Dame,22,USC,13
11/24/2012,Sat,Ohio State,26,Michigan,21
11/24/2012,Sat,Oklahoma,51,Oklahoma State,48
11/24/2012,Sat,Oregon,48,Oregon State,24
11/24/2012,Sat,Penn State,24,Wisconsin,21
11/24/2012,Sat,Pittsburgh,27,Rutgers,6
11/24/2012,Sat,Purdue,56,Indiana,35
11/24/2012,Sat,Rice,33,Texas-El Paso,24
11/24/2012,Sat,San Diego State,42,Wyoming,28
11/24/2012,Sat,San Jose State,52,Louisiana Tech,43
11/24/2012,Sat,South Carolina,27,Clemson,17
11/24/2012,Sat,Southern Methodist,35,Tulsa,27
11/24/2012,Sat,Stanford,35,UCLA,17
11/24/2012,Sat,Tennessee,37,Kentucky,17
11/24/2012,Sat,Texas A&M,59,Missouri,29
11/24/2012,Sat,Texas-San Antonio,38,Texas State,31
11/24/2012,Sat,Utah State,45,Idaho,9
11/24/2012,Sat,Vanderbilt,55,Wake Forest,21
11/24/2012,Sat,Virginia Tech,17,Virginia,14
11/24/2012,Sat,Western Kentucky,25,North Texas,24
11/29/2012,Thu,Louisville,20,Rutgers,17
11/30/2012,Fri,Northern Illinois,44,Kent State,37
11/30/2012,Fri,Stanford,27,UCLA,24
12/1/2012,Sat,Alabama,32,Georgia,28
12/1/2012,Sat,Arkansas State,45,Middle Tennessee State,0
12/1/2012,Sat,Baylor,41,Oklahoma State,34
12/1/2012,Sat,Boise State,27,Nevada,21
12/1/2012,Sat,Cincinnati,34,Connecticut,17
12/1/2012,Sat,Florida State,21,Georgia Tech,15
12/1/2012,Sat,Hawaii,23,South Alabama,7
12/1/2012,Sat,Kansas State,42,Texas,24
12/1/2012,Sat,Louisiana,35,Florida Atlantic,21
12/1/2012,Sat,Oklahoma,24,TCU,17
12/1/2012,Sat,Oregon State,77,Nicholls State,3
12/1/2012,Sat,Pittsburgh,27,South Florida,3
12/1/2012,Sat,Texas State,66,New Mexico State,28
12/1/2012,Sat,Tulsa,33,Central Florida,27
12/1/2012,Sat,West Virginia,59,Kansas,10
12/1/2012,Sat,Wisconsin,70,Nebraska,31
12/8/2012,Sat,Navy,17,Army,13
12/15/2012,Sat,Arizona,49,Nevada,48
12/15/2012,Sat,Utah State,41,Toledo,15
12/20/2012,Thu,Brigham Young,23,San Diego State,6
12/21/2012,Fri,Central Florida,38,Ball State,17
12/22/2012,Sat,Boise State,28,Washington,26
12/22/2012,Sat,Louisiana,43,East Carolina,34
12/24/2012,Mon,Southern Methodist,43,Fresno State,10
12/26/2012,Wed,Central Michigan,24,Western Kentucky,21
12/27/2012,Thu,Baylor,49,UCLA,26
12/27/2012,Thu,Cincinnati,48,Duke,34
12/27/2012,Thu,San Jose State,29,Bowling Green State,20
12/28/2012,Fri,Ohio,45,Louisiana-Monroe,14
12/28/2012,Fri,Texas Tech,34,Minnesota,31
12/28/2012,Fri,Virginia Tech,13,Rutgers,10
12/29/2012,Sat,Arizona State,62,Navy,28
12/29/2012,Sat,Michigan State,17,TCU,16
12/29/2012,Sat,Rice,33,Air Force,14
12/29/2012,Sat,Syracuse,38,West Virginia,14
12/29/2012,Sat,Texas,31,Oregon State,27
12/31/2012,Mon,Clemson,25,LSU,24
12/31/2012,Mon,Georgia Tech,21,USC,7
12/31/2012,Mon,Tulsa,31,Iowa State,17
12/31/2012,Mon,Vanderbilt,38,North Carolina State,24
1/1/2013,Tue,Florida State,31,Northern Illinois,10
1/1/2013,Tue,Georgia,45,Nebraska,31
1/1/2013,Tue,Northwestern,34,Mississippi State,20
1/1/2013,Tue,Oklahoma State,58,Purdue,14
1/1/2013,Tue,South Carolina,33,Michigan,28
1/1/2013,Tue,Stanford,20,Wisconsin,14
1/2/2013,Wed,Louisville,33,Florida,23
1/3/2013,Thu,Oregon,35,Kansas State,17
1/4/2013,Fri,Texas A&M,41,Oklahoma,13
1/5/2013,Sat,Mississippi,38,Pittsburgh,17
1/6/2013,Sun,Arkansas State,17,Kent State,13
1/7/2013,Mon,Alabama,42,Notre Dame,14